"Year","State","prop_owners","universl","permit","child","total_homicide_rate","total_suicide_rate"
1980,"California",0.366,0,0,0,9.02846125954151,7.22362641136156
1981,"California",0.421,0,0,0,7.85811102266229,7.59521551536988
1982,"California",0.414,0,0,0,6.69476376591198,7.60750333039367
1983,"California",0.38,0,0,0,5.97701333611086,7.61548415009835
1984,"California",0.405,0,0,0,6.22057518220007,7.46082650734679
1985,"California",0.354,0,0,0,5.97288884995792,7.72939477301504
1986,"California",0.367,0,0,0,6.50836112615937,7.83434301943462
1987,"California",0.376,0,0,0,6.30151461250823,7.1637515036154
1988,"California",0.396,0,0,0,6.51049696746798,7.34095325449161
1989,"California",0.417,0,0,0,7.6723167675165,7.35543293601072
1990,"California",0.379,0,0,0,9.68192059636803,8.23043002920247
1991,"California",0.368,1,0,0,11.0177866678116,7.59090213127516
1992,"California",0.402,1,0,1,11.4608888963519,7.4926188439943
1993,"California",0.386,1,1,1,11.8044395800178,7.76748976907077
1994,"California",0.31,1,1,1,10.8822368542674,7.45175938707278
1995,"California",0.337,1,1,1,9.88358395801511,7.10299728680657
1996,"California",0.291,1,1,1,7.78408507810013,6.30675871934702
1997,"California",0.3,1,1,1,5.93316455803832,5.2767027260109
1998,"California",0.241,1,1,1,5.37440631862594,5.91979298133597
1999,"California",0.271,1,1,1,4.70285449456726,5.40049179534268
2000,"California",0.274,1,1,1,5.02467937573244,5.11191339267224
2001,"California",0.229,1,1,1,5.21504363753421,4.92512950464316
2002,"California",0.228,1,1,1,5.86794024146087,4.98791714858008
2003,"California",0.198,1,1,1,5.7475243408484,4.95247774614891
2004,"California",0.203,1,1,1,5.77475943658383,4.4620165034375
2005,"California",0.209,1,1,1,5.92956846260619,4.2761622756575
2006,"California",0.202,1,1,1,5.93433478343717,4.22547807519143
2007,"California",0.185,1,1,1,5.29286910942319,4.50069557946727
2008,"California",0.175,1,1,1,4.78497105424582,4.63633018210468
2009,"California",0.196,1,1,1,4.12098324365856,4.43866075280569
2010,"California",0.174,1,1,1,4.33067684732396,5.00238744172573
2011,"California",0.16,1,1,1,3.8462886961161,4.74733162572417
2012,"California",0.214,1,1,1,3.99022174162892,4.60923712968391
2013,"California",0.155,1,1,1,4.03258720713742,5.05049026829388
2014,"California",0.183,1,1,1,3.75883313729416,5.0482190124481
2015,"California",0.151,1,1,1,3.98842649357956,4.55988494243808
2016,"California",0.163,1,1,1,4.44787319738109,5.00306871705419
1980,"North Carolina",0.579,0,0,0,8.00277837435196,8.20667081701061
1981,"North Carolina",0.547,0,0,0,7.19992427492231,9.26423822787206
1982,"North Carolina",0.571,0,0,0,6.88982512646788,9.78725769798982
1983,"North Carolina",0.552,0,0,0,5.97295319990957,8.97611402667975
1984,"North Carolina",0.585,0,0,0,5.1969632630614,9.81831350647992
1985,"North Carolina",0.554,0,0,0,6.09441612089766,9.15783273485951
1986,"North Carolina",0.522,0,0,0,6.49889450919772,9.09505863428192
1987,"North Carolina",0.573,0,0,0,5.81876224787054,8.65794382726045
1988,"North Carolina",0.561,0,0,0,5.88254620380206,8.96462493292176
1989,"North Carolina",0.563,0,0,0,7.77593244455586,10.9868896231536
1990,"North Carolina",0.541,0,0,0,7.64430373543443,10.7663584788668
1991,"North Carolina",0.565,0,0,0,9.92531615458874,9.85138456312067
1992,"North Carolina",0.529,0,0,0,8.33789520576487,9.57583597867319
1993,"North Carolina",0.573,0,0,1,9.72060137882717,8.91798291635521
1994,"North Carolina",0.54,0,0,1,8.72542062997187,9.9144559062005
1995,"North Carolina",0.461,0,1,1,7.24917801331147,8.7366272754768
1996,"North Carolina",0.516,0,1,1,6.42717559468802,9.81079449242061
1997,"North Carolina",0.474,0,1,1,6.46643064194824,8.74968063665676
1998,"North Carolina",0.464,0,1,1,6.58648910058631,7.87763708804616
1999,"North Carolina",0.417,0,1,1,6.71991793161875,8.19039409077297
2000,"North Carolina",0.426,0,1,1,6.38058101445608,8.92968568444712
2001,"North Carolina",0.382,0,1,1,5.57781915852162,9.04097061408724
2002,"North Carolina",0.397,0,1,1,6.22303007490746,8.74547187711509
2003,"North Carolina",0.374,0,1,1,5.4043216359628,8.28563123745679
2004,"North Carolina",0.383,0,1,1,5.32735808240939,7.95434732965809
2005,"North Carolina",0.375,0,1,1,5.88916618046248,8.32258692495676
2006,"North Carolina",0.351,0,1,1,5.52915718243131,8.30776916751101
2007,"North Carolina",0.36,0,1,1,5.58751482853674,7.68798109086137
2008,"North Carolina",0.345,0,1,1,5.68322814882749,8.43751129424034
2009,"North Carolina",0.341,0,1,1,4.88063862561216,8.31957099054214
2010,"North Carolina",0.35,0,1,1,4.54402955112059,8.68210833542638
2011,"North Carolina",0.406,0,1,1,4.32485970671513,8.53352915265283
2012,"North Carolina",0.379,0,1,1,4.84676134942509,8.53285090201417
2013,"North Carolina",0.355,0,1,1,4.80040761886427,9.07163644509783
2014,"North Carolina",0.334,0,1,1,4.2955267629371,8.75291395462255
2015,"North Carolina",0.316,0,1,1,4.71933303042753,9.09454802738639
2016,"North Carolina",0.371,0,1,1,5.89261973627495,9.05717477983002
1980,"Texas",0.58,0,0,0,11.9753761686442,8.96724170146087
1981,"Texas",0.586,0,0,0,12.1194320711351,9.32582365405498
1982,"Texas",0.613,0,0,0,11.2976642990164,9.02641727116112
1983,"Texas",0.586,0,0,0,9.8205383785245,9.50988222581456
1984,"Texas",0.545,0,0,0,8.68593282022319,9.12468052490504
1985,"Texas",0.506,0,0,0,8.78188072782215,9.57353873892561
1986,"Texas",0.529,0,0,0,9.33161451468396,9.54273701501618
1987,"Texas",0.516,0,0,0,7.53207458521142,9.06493892617623
1988,"Texas",0.541,0,0,0,8.13666123795303,9.55279432662902
1989,"Texas",0.555,0,0,0,9.38415753119644,10.1328935044302
1990,"Texas",0.53,0,0,0,11.2449936321873,10.7370641833055
1991,"Texas",0.514,0,0,0,12.7443782729763,10.2657309589453
1992,"Texas",0.522,0,0,0,11.0068217371122,9.92230625383496
1993,"Texas",0.563,0,0,0,10.1737963254642,9.87127878766754
1994,"Texas",0.517,0,0,0,9.56405150704513,10.2646439897521
1995,"Texas",0.488,0,0,1,6.69052147959158,8.0987497978905
1996,"Texas",0.491,0,0,1,5.91697468593856,8.50295737906467
1997,"Texas",0.494,0,0,1,5.26200093341749,7.80560275919318
1998,"Texas",0.466,0,0,1,5.06289944462117,7.66515894937401
1999,"Texas",0.421,0,0,1,4.31195403711321,6.93611909455208
2000,"Texas",0.417,0,0,1,4.26325126925642,7.05798607994387
2001,"Texas",0.377,0,0,1,5.00846264871629,8.16783517529038
2002,"Texas",0.379,0,0,1,4.38380089605108,7.07733030233123
2003,"Texas",0.362,0,0,1,4.86545801608616,7.0970242064851
2004,"Texas",0.368,0,0,1,4.99558993967186,7.48757608399655
2005,"Texas",0.376,0,0,1,4.94479837532792,7.04400523277846
2006,"Texas",0.363,0,0,1,4.88914211532804,6.55761874206873
2007,"Texas",0.392,0,0,1,4.68001117650127,6.82666884538373
2008,"Texas",0.367,0,0,1,4.63350281192359,7.18120005583541
2009,"Texas",0.357,0,0,1,4.87646268400611,8.14311775099841
2010,"Texas",0.346,0,0,1,4.3695639056708,8.65668320934781
2011,"Texas",0.378,0,0,1,3.77463712961877,8.37576356398718
2012,"Texas",0.426,0,0,1,4.05542580116297,8.52628546488409
2013,"Texas",0.364,0,0,1,4.05928658548709,8.50262543475081
2014,"Texas",0.385,0,0,1,3.80545023200402,7.66750327066256
2015,"Texas",0.336,0,0,1,4.46900679699191,8.48085897899515
2016,"Texas",0.355,0,0,1,4.81829402481972,8.46036980469652
